zipcode,Count,Breast_cancer,Colorectal_cancer,Prostate_cancer,Lung_cancer,Diabetes,HTN,Asthma,COPD,CHD
6761,19062,105,42,61,27,740,1850,783,129,501
12311,49700,659,173,419,218,2136,6793,2125,776,2572
60600,1376,6,5,5,1,79,133,54,12,45
60608,24870,102,51,64,54,1536,2944,1017,241,708
60609,22145,128,66,78,51,1553,3013,944,300,810
60610,44776,440,128,299,196,2185,5914,2010,751,2154
60612,22699,112,43,73,42,1357,2656,928,227,589
60613,27679,189,68,116,59,1236,3057,1189,243,848
60614,33613,334,96,190,82,1042,3021,1327,312,1101
60615,23600,221,94,146,92,1613,4024,1094,371,1109
60616,15282,141,67,75,58,945,2262,697,207,619
60617,22941,218,100,154,79,1812,4136,1001,368,1210
60618,33216,217,73,105,68,1953,3992,1438,323,942
60619,27091,224,117,181,100,2162,4880,1326,467,1453
60620,24446,177,98,118,84,1758,3920,1076,335,1078
60621,14921,81,46,53,39,1024,2191,684,224,599
60622,38086,195,90,107,65,1943,4123,1633,335,1033
60623,21776,94,60,66,44,1430,2720,884,199,599
60624,18694,100,47,73,43,1225,2479,823,204,537
60625,26177,156,64,93,54,1490,3150,1113,255,774
60626,17882,111,48,78,49,1092,2304,839,192,578
60627,672,5,4,1,NULL,40,81,25,8,23
60628,20503,160,74,118,54,1507,3302,911,277,952
60629,22287,116,51,73,55,1597,3035,966,247,739
60630,9827,101,36,59,29,644,1372,388,136,425
60631,3316,55,19,26,17,172,480,115,46,189
60632,15595,100,46,52,30,1040,2005,648,161,449
60634,12296,100,33,54,42,863,1690,491,140,454
60636,14642,84,48,57,41,1060,2175,656,212,614
60637,21718,198,69,124,67,1454,3663,1030,393,1217
60638,6527,51,27,32,17,413,846,256,66,277
60639,32971,172,88,102,96,2451,4461,1343,332,952
60640,32474,249,91,133,80,1808,4046,1456,365,1046
60641,18276,133,61,72,52,1238,2536,777,218,662
60643,11068,120,50,97,34,762,1947,507,158,568
60644,19328,86,42,54,36,1259,2502,799,191,517
60645,9799,79,34,39,25,634,1309,400,108,353
60646,4635,71,25,42,15,240,636,184,67,231
60647,37831,203,85,107,71,2175,4420,1585,335,1054
60648,145,3,NULL,NULL,NULL,9,16,4,3,2
60649,17362,148,47,103,77,1373,3169,839,315,908
60650,324,NULL,NULL,NULL,1,26,44,7,2,12
60651,24873,145,54,69,67,1783,3439,1106,261,767
60652,6055,54,19,39,16,386,957,239,89,249
60653,15092,98,46,67,35,981,2179,634,184,571
60655,2665,31,10,28,15,144,353,92,29,123
60656,3188,44,5,17,16,192,428,100,38,156
60657,35764,274,70,142,69,1229,3446,1478,295,953
60658,92,NULL,1,NULL,NULL,2,7,3,1,3
60659,7635,73,27,30,14,502,1000,309,73,306
60660,16176,139,55,79,55,991,2217,745,223,630
60662,47,1,NULL,NULL,NULL,3,7,3,NULL,2
60663,33,NULL,NULL,NULL,NULL,1,2,1,NULL,NULL
60664,96,2,NULL,NULL,NULL,6,14,5,4,6
60665,33,1,NULL,NULL,NULL,2,4,NULL,1,NULL
60666,70,NULL,NULL,NULL,NULL,1,5,NULL,NULL,3
60667,23,NULL,NULL,NULL,NULL,1,1,NULL,NULL,1
60668,56,NULL,NULL,NULL,NULL,3,4,5,NULL,1
60669,47,NULL,NULL,NULL,NULL,NULL,3,2,NULL,NULL
60670,27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
60671,18,NULL,1,NULL,NULL,NULL,2,NULL,NULL,NULL
60672,11,NULL,NULL,NULL,NULL,2,4,1,NULL,1
60673,30,NULL,NULL,NULL,NULL,3,3,NULL,NULL,1
60674,25,NULL,NULL,NULL,NULL,NULL,4,NULL,1,NULL
60675,18,NULL,NULL,NULL,NULL,NULL,2,1,NULL,1
60676,28,NULL,NULL,NULL,NULL,2,4,NULL,NULL,NULL
60677,29,1,NULL,NULL,NULL,3,3,NULL,NULL,NULL
60678,18,NULL,NULL,NULL,NULL,NULL,1,1,NULL,1
60680,571,5,7,3,3,54,118,28,5,24
60681,41,NULL,NULL,2,NULL,2,3,1,NULL,2
60684,65,NULL,NULL,NULL,NULL,4,6,1,NULL,1
60685,24,1,1,NULL,1,3,5,1,NULL,2
60687,11,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL
60689,12,NULL,1,NULL,NULL,NULL,2,NULL,NULL,NULL
60690,415,5,3,7,1,23,87,20,9,22
60691,27,NULL,NULL,NULL,NULL,2,7,1,1,1
60693,20,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
60699,39,NULL,NULL,NULL,NULL,3,3,2,NULL,1
60707,375,NULL,2,1,NULL,25,43,15,2,12
60827,1658,20,10,12,11,110,261,58,27,88